Year,Country,Location Name,F: Total,M: Total,Overall total,,,,,,,,,,,,,,,
2009,Afghanistan,Kunduz,4290,4283,6148,,,,,,,,,,,,,,,
2009,Afghanistan,Kunar,9266,9761,13541,,,,,,,,,,,,,,,
2009,Afghanistan,Khost,18569,19600,27293,,,,,,,,,,,,,,,
2009,Afghanistan,Kapisa,363,394,544,,,,,,,,,,,,,,,
2009,Afghanistan,Kandahar,31840,34019,47058,,,,,,,,,,,,,,,
2009,Afghanistan,Kabul,9271,9622,13470,,,,,,,,,,,,,,,
2009,Afghanistan,Jawzjan,3724,3796,5559,,,,,,,,,,,,,,,
2009,Afghanistan,Hirat,34029,36525,50622,,,,,,,,,,,,,,,
2009,Afghanistan,Hilmand,36334,38644,53590,,,,,,,,,,,,,,,
2009,Afghanistan,Ghor,2304,2463,3411,,,,,,,,,,,,,,,
2009,Afghanistan,Ghazni,2707,2859,3972,,,,,,,,,,,,,,,
2009,Afghanistan,Faryab,5280,5557,7816,,,,,,,,,,,,,,,
2009,Afghanistan,Farah,51,65,85,,,,,,,,,,,,,,,
2009,Afghanistan,Day Kundi,118,123,175,,,,,,,,,,,,,,,
2009,Afghanistan,Bamyan,125,182,230,,,,,,,,,,,,,,,
2009,Afghanistan,Balkh,1080,1087,1615,,,,,,,,,,,,,,,
2009,Afghanistan,Baghlan,1977,1957,2792,,,,,,,,,,,,,,,
2009,Afghanistan,Badghis,4683,4973,6901,,,,,,,,,,,,,,,
2009,Afghanistan,Badakhshan,28,114,119,,,,,,,,,,,,,,,
2010,Afghanistan,Zabul : Wilayat - Province,7773,7997,15770,,,,,,,,,,,,,,,
2010,Afghanistan,Wardak : Wilayat - Province,3328,3393,6721,,,,,,,,,,,,,,,
2010,Afghanistan,Uruzgan : Wilayat - Province,548,542,1090,,,,,,,,,,,,,,,
2010,Afghanistan,Takhar : Wilayat - Province,5834,6514,12348,,,,,,,,,,,,,,,
2010,Afghanistan,Sari Pul : Wilayat - Province,4077,4457,8534,,,,,,,,,,,,,,,
2010,Afghanistan,Samangan : Wilayat - Province,1854,1867,3721,,,,,,,,,,,,,,,
2010,Afghanistan,Parwan : Wilayat - Province,5207,5709,10916,,,,,,,,,,,,,,,
2010,Afghanistan,Panjsher : Wolaswalei - District,116,118,234,,,,,,,,,,,,,,,
2010,Afghanistan,Panjsher : Wilayat - Province,215,246,461,,,,,,,,,,,,,,,
2010,Afghanistan,Paktya : Wilayat - Province,15755,15320,31075,,,,,,,,,,,,,,,
2010,Afghanistan,Paktika : Wilayat - Province,1846,1966,3812,,,,,,,,,,,,,,,
2010,Afghanistan,Nuristan : Wilayat - Province,1785,1801,3586,,,,,,,,,,,,,,,
2010,Afghanistan,Nimroz : Wilayat - Province,155,217,372,,,,,,,,,,,,,,,
2010,Afghanistan,Nangarhar : Wilayat - Province,215730,221810,437540,,,,,,,,,,,,,,,
2010,Afghanistan,Logar : Wilayat - Province,17011,16779,33790,,,,,,,,,,,,,,,
2010,Afghanistan,Laghman : Wilayat - Province,30029,31224,61253,,,,,,,,,,,,,,,
2010,Afghanistan,Kunduz : Wilayat - Province,30332,31228,61560,,,,,,,,,,,,,,,
2010,Afghanistan,Kunar : Wilayat - Province,31466,32908,64374,,,,,,,,,,,,,,,
2010,Afghanistan,Khost : Wilayat - Province,10831,11225,22056,,,,,,,,,,,,,,,
2010,Afghanistan,Kapisa : Wilayat - Province,1702,1827,3529,,,,,,,,,,,,,,,
2010,Afghanistan,Kandahar : Wilayat - Province,39766,41127,80893,,,,,,,,,,,,,,,
2010,Afghanistan,Kabul : Wolaswalei - District,9,20,29,,,,,,,,,,,,,,,
2010,Afghanistan,Kabul : Wilayat - Province,65995,67449,133444,,,,,,,,,,,,,,,
2010,Afghanistan,Jawzjan : Wilayat - Province,13282,13710,26992,,,,,,,,,,,,,,,
2010,Afghanistan,Hirat : Wilayat - Province,33380,35420,68800,,,,,,,,,,,,,,,
2010,Afghanistan,Hilmand : Wilayat - Province,41223,42147,83370,,,,,,,,,,,,,,,
2010,Afghanistan,Ghor : Wilayat - Province,2304,2429,4733,,,,,,,,,,,,,,,
2010,Afghanistan,Ghazni : Wilayat - Province,12711,13473,26184,,,,,,,,,,,,,,,
